                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3356,                 2.7892,                 1.6959,                 1.2853,                 0.5245,                0.39741,                0.40748,                0.20973,                 0.4748,                0.34295,                0.33348,                 0.1338,                 1.7079,                 3.7437,                 2.3608,                 1.6839,             0.00066381,             0.00066381,             0.00066381
                      2,                 1.5467,                 3.1047,                 1.6891,                 1.4405,                0.48963,                0.33623,                0.34792,                 0.1611,                0.50097,                0.29321,                 0.3009,                0.11598,                 1.9555,                 3.9582,                 2.1247,                 1.8912,              0.0012427,              0.0012427,              0.0012427
                      3,                 1.5773,                 3.1655,                 1.6735,                 1.4687,                0.47373,                0.34668,                0.34398,                0.16553,                0.45992,                0.31385,                0.30134,                0.12206,                 1.8638,                 3.6041,                 2.1766,                 1.7689,              0.0017335,              0.0017335,              0.0017335
                      1,                 1.3322,                 2.7897,                 1.6889,                 1.2853,                0.50435,                0.37276,                0.37381,                0.17923,                0.45651,                0.33027,                 0.3068,                0.12811,                 1.8864,                    3.8,                 2.2085,                 1.7934,             0.00066381,             0.00066381,             0.00066381
                      2,                 1.5388,                 3.0801,                 1.6723,                 1.4358,                0.49905,                0.37262,                0.38351,                0.18209,                0.51981,                0.30691,                0.32006,                0.13491,                 1.8934,                 3.8553,                 1.9922,                 1.8436,              0.0012427,              0.0012427,              0.0012427
                      3,                 1.5773,                 3.1571,                 1.6726,                  1.471,                0.45116,                0.31871,                0.31744,                 0.1501,                 0.4512,                0.29122,                0.28277,                0.11265,                  1.917,                 3.6942,                  2.133,                 1.7875,              0.0017335,              0.0017335,              0.0017335
                      4,                 1.5288,                 3.1355,                 1.6326,                 1.4614,                0.57346,                0.41258,                0.44839,                0.23726,                0.61451,                0.35837,                0.40303,                0.18631,                 1.7058,                 3.3252,                 1.7309,                 1.5859,               0.001604,               0.001604,               0.001604
                      5,                 1.4887,                 3.0302,                 1.5609,                 1.4299,                0.57752,                0.41955,                0.45409,                0.23302,                0.56535,                0.38846,                0.41432,                0.19151,                 1.7397,                 3.2088,                 1.7639,                 1.6193,               0.001472,               0.001472,               0.001472
                      6,                 1.5636,                 3.0597,                 1.5723,                 1.5081,                0.63234,                0.45467,                 0.5167,                0.27488,                0.61916,                0.42616,                0.47223,                0.22017,                 1.6104,                 3.0851,                 1.6135,                 1.5472,                0.00134,                0.00134,                0.00134
                      7,                 1.5188,                 2.9817,                 1.5108,                 1.4933,                0.65582,                0.43671,                0.51492,                0.28267,                0.65684,                0.39748,                 0.4657,                0.22387,                 1.6005,                  3.039,                 1.5558,                 1.5462,               0.001208,               0.001208,               0.001208
                      8,                 1.4912,                 2.9311,                 1.4534,                 1.4677,                0.63367,                0.44218,                0.49873,                0.28284,                0.62986,                0.42029,                0.46869,                0.22854,                 1.5713,                 3.0382,                 1.5521,                  1.514,               0.001076,               0.001076,               0.001076
                      9,                 1.4487,                  2.864,                 1.3915,                 1.4244,                0.65858,                0.48595,                0.54695,                0.31756,                0.65469,                0.45088,                0.50678,                0.25517,                 1.5192,                 2.9221,                  1.502,                 1.4762,               0.000944,               0.000944,               0.000944
                     10,                 1.4096,                 2.8059,                  1.344,                 1.4012,                0.71509,                0.47824,                0.57184,                0.33556,                0.69315,                0.44989,                0.52402,                0.26258,                 1.4867,                 2.8848,                 1.3883,                 1.4361,               0.000812,               0.000812,               0.000812
                     11,                  1.365,                 2.7175,                 1.2851,                 1.3679,                0.72448,                0.50746,                0.59609,                0.36021,                0.70387,                0.49181,                0.56413,                0.28739,                 1.4165,                 2.7791,                 1.3114,                  1.389,                0.00068,                0.00068,                0.00068
                     12,                 1.3341,                 2.6904,                  1.236,                 1.3476,                0.71465,                0.51977,                0.60529,                0.36319,                0.70301,                0.49039,                0.56361,                 0.2875,                 1.4247,                 2.7377,                 1.3058,                 1.3903,               0.000548,               0.000548,               0.000548
                     13,                 1.2954,                   2.61,                 1.1826,                 1.3245,                0.74339,                0.53096,                0.62559,                0.37573,                0.73617,                0.50609,                0.58832,                0.30413,                 1.4021,                 2.7082,                 1.2517,                 1.3773,               0.000416,               0.000416,               0.000416
                     14,                 1.2548,                 2.5425,                 1.1455,                 1.2985,                0.77001,                0.53047,                0.63506,                0.39265,                 0.7668,                0.51132,                0.60049,                0.31911,                 1.3508,                 2.6488,                 1.2107,                  1.347,               0.000284,               0.000284,               0.000284
                     15,                 1.2339,                 2.5058,                 1.1032,                 1.2845,                0.76165,                0.53643,                0.64001,                0.40246,                0.76017,                0.51032,                0.60342,                0.32605,                 1.3336,                 2.6133,                 1.1856,                 1.3309,               0.000152,               0.000152,               0.000152
